"","Country.or.region","Overall.rank","Score","GDP.per.capita","Social.support","Healthy.life.expectancy","Freedom.to.make.life.choices","Generosity","Perceptions.of.corruption","College.Count","mean_overall_rank <- mean(scores_overall_rank)","mean_scores_teaching_rank <- mean(scores_teaching_rank)","mean.scores.research <- mean(scores_research)","mean_scores_research_rank <- mean(scores_research_rank)","mean_scores_citation_rank <- mean(scores_citations_rank)","mean_industry_income <- mean(scores_industry_income)","mean_international_outcome_rank <- mean(scores_international_outlook_rank)","Has.Top.College","College.Ranking.Happiness.Ranking.Ratio","College.Ranking.to.GDP","College.Ranking.to.SocialSupport","College.Ranking.to.life","College.Ranking.to.freedom","College.Ranking.to.generosity","College.Ranking.to.corruption","Research.to.GDP","Research.to.Social","Research.to.Life","Research.to.Freedom","Research.to.Generosity","Research.to.Corruption"
"36","Italy",36,6.223,1.294,1.488,1.039,0.231,0.158,0.03,43,4271.39534883721,624.139534883721,21.7813953488372,559,310.186046511628,42.4093023255814,663.953488372093,TRUE,686.388453934952,3300.92376262535,2870.56139034759,4111.06385836113,18490.8889560052,27034.1477774507,142379.84496124,16.8326084612343,14.6380345086272,20.9638068804978,94.291754756871,137.856932587577,726.046511627907
"37","Bahrain",37,6.199,1.362,1.368,0.871,0.536,0.255,0.11,0,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","Slovakia",38,6.198,1.246,1.504,0.881,0.334,0.121,0.014,3,10910,805.333333333333,11.5666666666667,944.666666666667,1074.33333333333,38.6,841.666666666667,TRUE,1760.24524040013,8756.01926163724,7253.98936170213,12383.6549375709,32664.6706586826,90165.2892561983,779285.714285714,9.28303905831996,7.69060283687943,13.1290200529701,34.6307385229541,95.5922865013774,826.190476190476
"39","Trinidad & Tobago",39,6.192,1.231,1.477,0.713,0.489,0.185,0.016,0,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","Poland",40,6.182,1.206,1.438,0.884,0.483,0.117,0.05,12,10076.6666666667,990.25,11.8,952.666666666667,879.333333333333,35.8,975.583333333333,TRUE,1630.00107839965,8355.44499723604,7007.4177097821,11398.9441930618,20862.6639061422,86125.3561253561,201533.333333333,9.78441127694859,8.20584144645341,13.3484162895928,24.4306418219462,100.854700854701,236
"41","Uzbekistan",41,6.174,0.745,1.529,0.756,0.631,0.322,0.24,0,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
"42","Lithuania",42,6.149,1.238,1.515,0.818,0.291,0.043,0.042,2,10495,1011,12.45,894.5,1023.5,40.1,753,TRUE,1706.78159050252,8477.38287560582,6927.39273927393,12830.0733496333,36065.2920962199,244069.76744186,249880.952380952,10.0565428109855,8.21782178217822,15.2200488997555,42.7835051546392,289.53488372093,296.428571428571
"43","Colombia",43,6.125,0.985,1.41,0.841,0.47,0.099,0.034,7,9228.57142857143,1024.57142857143,11.7428571428571,978.571428571429,866.428571428571,35.7,662.571428571429,TRUE,1506.7055393586,9369.1080493111,6545.08611955421,10973.3310684559,19635.2583586626,93217.8932178932,271428.571428571,11.9216823785352,8.32826747720365,13.9629692542891,24.9848024316109,118.614718614719,345.378151260504
"44","Slovenia",44,6.118,1.258,1.523,0.953,0.564,0.144,0.057,2,8050,814,16.75,698,718,38.6,720,TRUE,1315.78947368421,6399.04610492846,5285.62048588313,8447.00944386149,14273.0496453901,55902.7777777778,141228.070175439,13.3147853736089,10.9980302035456,17.5760755508919,29.6985815602837,116.319444444444,293.859649122807
"45","Nicaragua",45,6.105,0.694,1.325,0.835,0.435,0.2,0.127,0,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","Kosovo",46,6.1,0.882,1.232,0.758,0.489,0.262,0.006,0,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
"47","Argentina",47,6.086,1.092,1.432,0.881,0.471,0.066,0.05,5,10652,912.8,9.06,1116.8,982,34.66,802.4,TRUE,1750.246467302,9754.57875457875,7438.54748603352,12090.8059023837,22615.7112526539,161393.939393939,213040,8.2967032967033,6.3268156424581,10.2837684449489,19.2356687898089,137.272727272727,181.2
"48","Romania",48,6.07,1.162,1.232,0.825,0.462,0.083,0.005,7,9868.57142857143,1033.57142857143,12.1428571428571,969.285714285714,994.285714285714,34.1285714285714,642.857142857143,TRUE,1625.79430454225,8492.74649618884,8010.20408163265,11961.9047619048,21360.5442176871,118898.450946644,1973714.28571429,10.4499631177772,9.85621521335807,14.7186147186147,26.2832405689549,146.299483648881,2428.57142857143
"49","Cyprus",49,6.046,1.263,1.223,1.042,0.406,0.19,0.041,2,3385,935.5,20.65,583.5,220.5,42.15,204,TRUE,559.874297055905,2680.12668250198,2767.78413736713,3248.56046065259,8337.43842364532,17815.7894736842,82560.9756097561,16.3499604117181,16.8847097301717,19.8176583493282,50.8620689655172,108.684210526316,503.658536585366
